execucao;data_hora;classificacao;temp_interna;temp_externa;integridade;pressao_psi;energia_pct;modulos_online;capacidade_kwh;disponivel_kwh;consumo_real_kwh;restante_kwh;autonomia_pct;qtd_criticos;qtd_alertas;decolagem
1;2026-08-29 14:42:47;HORRIVEL;10.0;50.0;0;350.0;70.0;NAO;1000.0;700.0;324.0;376.0;37.6;0;1;ABORTADA
2;2026-08-29 14:43:45;MEDIO;25.0;30.0;1;550.0;80.0;SIM;1000.0;800.0;324.0;476.0;47.6;0;2;AUTORIZADA
3;2026-08-29 14:44:30;OTIMO;25.0;30.0;1;480.0;100.0;SIM;1000.0;1000.0;324.0;676.0;67.6;0;0;AUTORIZADA
4;2026-08-29 14:50:17;OTIMO;23.0;20.0;1;495.0;92.0;SIM;1000.0;920.0;324.0;596.0;59.6;0;0;AUTORIZADA
5;2026-08-29 14:50:17;MEDIO;21.0;-9.0;1;500.0;85.0;SIM;1000.0;850.0;324.0;526.0;52.6;0;1;AUTORIZADA
6;2026-08-29 14:50:17;MEDIO;29.0;-8.0;1;535.0;93.0;SIM;1000.0;930.0;324.0;606.0;60.6;0;3;AUTORIZADA
7;2026-08-29 14:50:18;HORRIVEL;22.0;25.0;0;500.0;90.0;SIM;1000.0;900.0;324.0;576.0;57.6;0;0;ABORTADA
8;2026-08-29 14:50:18;HORRIVEL;22.0;25.0;3;500.0;105.0;SIM;1000.0;1050.0;324.0;726.0;72.6;2;0;ABORTADA
9;2026-08-29 14:50:18;OTIMO;20.0;5.0;1;470.0;98.0;SIM;1000.0;980.0;324.0;656.0;65.6;0;0;AUTORIZADA
10;2026-08-29 14:50:18;HORRIVEL;24.0;28.0;1;505.0;55.0;SIM;1000.0;550.0;324.0;226.0;22.6;0;0;ABORTADA
